label,text
kabul,"karena merek bodycology terdaftar No. IDM000289450 atas nama Tergugat secara jelas mempunyai persamaan pada pokoknya dengan Merek Bodycology milik Penggugat Merek Bodycology milik Penggugat sudah terdaftar jauh sebelum merek bodycology No. IDM000289450 atas nama Tergugat terdaftar di Indonesia maksud dan tujuan Tergugat mengajukan pendaftaran merek bodycology terdaftar No. IDM00028450 adalah untuk membonceng dan menjiplak Merek Bodycology milik Penggugat merupakan bukti itikad tidak baik dari Tergugat dalam mendaftarkan merek tersebut"
kabul,"Bahwa mengingat dalil diatas menyatakan bahwa Merek  Kuntul dan lukisan  dan Kuntul batu   tersebut mempunyai persamaan pada pokoknya dengan Merek  Sin Kian Hin dan cap Kuntul  yang telah terlebih dahulu didaftar oleh dan atas nama Penggugat untuk barang yang sejenis  hal ini ditunjukkan oleh adanya kemiripan yang disebabkan oleh adanya unsur-unsur yang menonjol antara Merek yang satu dan Merek yang lain  yang dapat menimbulkan kesan adanya persamaan  baik mengenai bentuk  cara penempatan  cara penulisan atau kombinasi antara unsur-unsur ataupun persamaan bunyi ucapan yang terdapat dalam merek Penggugat maupun Tergugat dan Kuntul batu   tersebut mempunyai persamaan pada pokoknya dengan Merek  Sin Kian Hin dan cap Kuntul  yang telah terlebih dahulu didaftar oleh dan atas nama Penggugat untuk barang yang sejenis  hal ini ditunjukkan oleh adanya kemiripan yang disebabkan oleh adanya unsur-unsur yang menonjol antara Merek yang satu dan Merek yang lain  yang dapat menimbulkan kesan adanya persamaan  baik mengenai bentuk  cara penempatan  cara penulisan atau kombinasi antara unsur-unsur ataupun persamaan bunyi ucapan yang terdapat dalam merek Penggugat maupun Tergugat dan Kuntul batu   tersebut mempunyai persamaan pada pokoknya dengan Merek  Sin Kian Hin dan cap Kuntul  yang telah terlebih dahulu didaftar oleh dan atas nama Penggugat untuk barang yang sejenis hal ini ditunjukkan oleh adanya kemiripan yang disebabkan oleh adanya unsur-unsur yang menonjol antara Merek yang satu dan Merek yang lain yang dapat menimbulkan kesan adanya persamaan  baik mengenai bentuk cara penempatan cara penulisan atau kombinasi antara unsur-unsur ataupun persamaan bunyi ucapan yang terdapat dalam merek Penggugat maupun tergugat"
kabul,"Bahwa Penggugat sangat berkeberatan atas pendaftaran merek Tergugat tersebut di atas karena merek tersebut di atas mempunyai persamaan pada pokoknya dengan merek sudah dikenal   & Lukisan milik Penggugat"
kabul,"Bahwa ternyata pendaftaran merek dagang  Lavera  yang dilakukan oleh Tergugat mempunyai persamaan pada pokoknya dengan merek dagang Lavera milik Penggugat yang sudah dikenal di berbagai negara (Pasal 6ayat (la) Undang Undang Nomor 15 tahun 2001 tentang Merek)kabul"
kabul,"Bahwa akan tetapi ironisnya, sekalipun dalam pendaftaran Merek Dagang Cap KILAT & Lukisan Daftar Nomor IDM000018863, Merek Dagang Cap KILAT & Lukisan Daftar Nomor IDM000066132, Merek Dagang Cap KILAT & Lukisan Daftar Nomor IDM000130106 dan Merek Dagang Cap KILAT & Lukisan Daftar Nomor IDM000326276 atas nama Tergugat a quo, dalam uraian jenis barangnya tidak terdapat jenis barang  kantong plastik , namun berdasarkan fakta dan data yang ada pada Penggugat ternyata di pasaran Tergugat justru menggunakan Merek Dagang Cap KILAT & Lukisan tersebut untuk produk  kantong plastik . Dengan demikian maka Tergugat terbukti menggunakan/memakai Merek-Merek tersebut tidak sesuai untuk jenis barang dengan Merek yang didaftar"
tolak,"Bahwa berdasarkan fakta-fakta yang disampaikan dalam uraian di atas sudah jelaslah bahwa Penggugat adalah Pencipta dan Pemegang Hak Cipta atas Seni Motif Kertas Nomor 020607"
tolak,"Eksepsi Tentang Penggugat tidak mempunyai hak dan kapasitas untuk menggugat (non legitima persona standi in judicio) Karena Penggugat tidak ada hubungan hukum dengan Tergugat atas merek   dan Penggugat a quo tidak mempunyai hak tunggal/khusus untuk dan atas merek     tersebut"
tolak,"Bahwa Penggugat adalah pemilik dan pendaftar pertama dari merek dagang  POP LADY  yang telah diajukan permintaan pendaftarannya pertama kali pada tanggal 11 Juni 2001 dibawah pendaftaran merek nomor 12583 dan telah diperpanjang pada tanggal 14 Maret 2011 dengan nomor daftar IDM000297511 untuk jenis barangBahwa merek POP LADY milik Penggugat yang telah terdaftar sejak tahun 2002  sesuai dengan asas first to file  Penggugat adalah satu-satunya yang berhak  menggunakan  merek  POP LADY di Indonesia  sehingga pendaftaran dan pemakaian merek yang mempunyai persamaan pada pokoknya atau keseluruhan sebagaimana ditentukan dalam Pasal 6 ayat (1) huruf a Undang Undang Nomor 15 Tahun 2001 oleh pihak lain dapat menimbulkan keraguan diantara konsumen tentang mutu dan asal barang  hal nama sangat tidak menguntungkan Penggugat sebagai pendaftar pertama"
tolak,"Bahwa keberatan tersebut tidak dapat dibenarkan oleh karena setelah meneliti secara saksama memori kasasi tanggal 22 Juli 2013 dan kontra memori kasasi tanggal 12 Agustus 2013 dihubungkan dengan pertimbangan Judex Facti  dalam hal ini Putusan Pengadilan Niaga pada Pengadilan Negeri Surabaya  ternyata Judex Facti tidak salah menerapkan hukum"
tolak,"Bahwa keberatan tersebut tidak dapat dibenarkan  oleh karena setelah meneliti secara saksama memori kasasi tanggal 30 Agustus 2013 dan kontra memori kasasi tanggal 13 September 2013 dihubungkan dengan pertimbangan Judex Facti  dalam hal ini Pengadilan Niaga pada Pengadilan Negeri Jakarta Pusat tidak salah menerapkan hukum dengan pertimbangan sebagai berikut Keberatan Pemohon Kasasi tidak dapat dibenarkan oleh karena Judex Facti Pengadilan Niaga sudah tepat dan benar"
tolak,"tergugat tidak mempunyai persamaan pada logo dan pengucapan dengan merek penggugat"
tolak,"tergugat mempunyai merek yang terkenal di dunia sebagai merek peralatan elektronik sehingga penggugat tidak berhak mendaftarkan merek yang sama"
kabul,"merek tergugat mempunyai persamaan pada logo dan pengucapan dengan merek penggugat dan merek penggugat sudah didaftarkan terlebih dahulu"
kabul,"tergugat mempunyai persamaan merek pada barang dengan Merek milik pihak penggugat yang sudah terdaftar lebih dahulu untuk barang tersebut" 
